Demographic,Borough,Cohort,totalCohort,totalGrads,percentGrad,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,droppedOut,droppedOutPercent
Borough Total,Queens,2004,18725,10922,58.3,8450,45.1,77.4,3604,19.2,33,4846,25.9,44.4,2472,13.2,22.6,5001,26.7,2505,13.4
Borough Total,Queens,2005,19511,11863,60.8,9290,47.6,78.3,3618,18.5,30.5,5672,29.1,47.8,2573,13.2,21.7,4435,22.7,2435,12.5
Borough Total,Queens,2006,19558,12465,63.7,10285,52.6,82.5,3637,18.6,29.2,6648,34,53.3,2180,11.1,17.5,4272,21.8,2256,11.5
Borough Total,Queens,6-Aug,19558,13378,68.4,10752,55,80.4,3681,18.8,27.5,7071,36.2,52.9,2626,13.4,19.6,3363,17.2,2252,11.5
Borough Total,Staten Island,2001,3872,2565,66.2,1901,49.1,74.1,876,22.6,34.2,1025,26.5,40,665,17.2,25.9,786,20.3,417,10.8
Borough Total,Staten Island,2002,4134,2721,65.8,2040,49.3,75,861,20.8,31.6,1179,28.5,43.3,683,16.5,25.1,844,20.4,426,10.3
Borough Total,Staten Island,2003,4218,2812,66.7,2169,51.4,77.1,883,20.9,31.4,1286,30.5,45.7,643,15.2,22.9,919,21.8,374,8.9
Borough Total,Staten Island,2004,4142,2788,67.3,2220,53.6,79.6,1029,24.8,36.9,1191,28.8,42.7,568,13.7,20.4,844,20.4,381,9.2
Borough Total,Staten Island,2005,4460,3098,69.5,2467,55.3,79.6,1059,23.7,34.2,1408,31.6,45.4,631,14.1,20.4,758,17,362,8.1
Borough Total,Staten Island,2006,4603,3346,72.7,2818,61.2,84.2,1192,25.9,35.6,1626,35.3,48.6,528,11.5,15.8,683,14.8,414,9
Borough Total,Staten Island,6-Aug,4603,3423,74.4,2856,62,83.4,1194,25.9,34.9,1662,36.1,48.6,567,12.3,16.6,607,13.2,413,9
